candidate	relevant_yn	sentiment	sentiment_confidence	subject_matter	retweet_count	text	tweet_created	tweet_location	user_timezone
No candidate mentioned	yes	Neutral	0.6889	None of the above	0	Fiorina for the People #proud American #GOPDebate #2016 #WakeUpAmerica	8/7/15 9:40	"Memphis, TN"	
No candidate mentioned	yes	Neutral	0.6264	None of the above	1	"RT @EmperorSean: Who won #GOPDebate? Why, the candidate I liked already. Can't you see? It's so obvious!"	8/7/15 9:40	Straight Outta Weddington	Eastern Time (US & Canada)
Jeb Bush	yes	Negative	1	Jobs and Economy	1	RT @tnyCloseRead: How do you earn a Jeb? http://t.co/JKGx2Ojrwi #GOPDebate	8/7/15 9:40	"Baltimore, Maryland, USA"	Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	1	None of the above	2	RT @JustenCharters: Carly Fiorina wrote an op-ed for us at IJReview after her performance last night.  http://t.co/LdQE8KG2ZW #GOPDebate	8/7/15 9:40	Wandering in Wonderland..	Atlantic Time (Canada)
No candidate mentioned	yes	Neutral	1	None of the above	0		8/7/15 9:40	"Philadelphia, PA"	Eastern Time (US & Canada)
Donald Trump	yes	Negative	1	None of the above	0	Did Trump Implode in #FOXdebate? Special new @hlcpodcast #GOPdebate edition http://t.co/HEYhWpWUWx #mapoli #nhpolitics #mepolitics #trump	8/7/15 9:40	Boston	
No candidate mentioned	yes	Positive	0.3474	None of the above	0	Support 1 U like #TCOT This is STILL America but PLS VET so U KNOW what ur getting! https://t.co/hrLWhET2x8 #GOPDebate #FoxNews #iapolitics	8/7/15 9:40	America	
No candidate mentioned	yes	Negative	0.6737	None of the above	0		8/7/15 9:40	Flyover Country	Central Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6628	None of the above	3	The most-retweeted presidential candidate Tweet of the #GOPDebate. https://t.co/hdKdiZIym2	8/7/15 9:40	"Brooklyn, NY"	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	FOX News or Moderators	8	RT @grindingdude: Biggest elephants in the room at last night #GOPDebate were #FOX panelists. Shoddy performance at best! http://t.co/vhIqq__	8/7/15 9:40		
No candidate mentioned	yes	Negative	0.6702	Gun Control	29	"RT @shannonrwatts: In states that closed background check loophole, #DV and police shooting deaths and gun suicides cut almost in half #GOP__"	8/7/15 9:40	& a couple of Fa-la-la's 	Melbourne
No candidate mentioned	yes	Neutral	1	None of the above	38	"RT @senatorshoshana: ""Ronald Raven"" #GOPDebate http://t.co/bymorRA7Bc"	8/7/15 9:40	"Austin, TX"	Central Time (US & Canada)
Mike Huckabee	yes	Positive	1	None of the above	5	RT @SarahHuckabee: .@FrankLuntz analysis says @GovMikeHuckabee won the debate _&gt; http://t.co/QUwoCLfs8q #ImWithHuck #GOPDebate	8/7/15 9:40	"Eufaula, AL"	
Ted Cruz	yes	Positive	1	None of the above	15	"RT @TexanCat: I am 50 &amp; have never been more proud of a political candidate. TY, @tedcruz. Hope more Americans will soon feel same. #CruzCr__"	8/7/15 9:40	Oregon	Pacific Time (US & Canada)
Donald Trump	yes	Negative	0.6737	FOX News or Moderators	2	"RT @el_nuko: @Stonewall_77 @megynkelly @BretBaier @FrankLuntz @FoxNews @realDonaldTrump did #Jeb get 5, no 6 softball q's last night? #GOPD__"	8/7/15 9:40		
No candidate mentioned	yes	Negative	0.6731	None of the above	0	Conservatives CANT POSSIBLY Support a Candidate that DONATED TO HILLARY- EVER-this is ASININE #tcot #ccot #GOPDebate #RedNationRising #PJNET	8/7/15 9:40	Seattle WA USA	Pacific Time (US & Canada)
No candidate mentioned	yes	Positive	0.6667	None of the above	0	I Strongly Suggest Everyone To Listen To Dennis Prager Today.  #GOPDebate	8/7/15 9:40	New Jersey	Eastern Time (US & Canada)
Rand Paul	yes	Positive	0.3523	Foreign Policy	2	"RT @brianmrosenthal: ICYMI: At #GOPDebate, @RandPaul calls out Houston Mayor Annise Parker over #HERO controversy: http://t.co/qxB1edQOzN"	8/7/15 9:40		Central Time (US & Canada)
No candidate mentioned	yes	Positive	0.3437	Immigration	138	RT @FWD_us: #Immigration fact: Undocumented immigrants paid $10.6 billion in taxes in 2010. #GOPdebate #economy http://t.co/z1v2FVruBR	8/7/15 9:39	Orlando Florida	Atlantic Time (Canada)
No candidate mentioned	yes	Negative	0.6444	LGBT issues	21	"RT @emily_hohman: Yes, please, let's hear more about what women should do with their bodies from people WHO ARE NOT WOMEN. #GOPDebate"	8/7/15 9:39	"LI, NY _鐫"	Central Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	5	lol! RT @The3o5FlyGuy: Watching the #GOPDebate like... http://t.co/zOwJcU2baZ	8/7/15 9:39	Miami	
No candidate mentioned	yes	Negative	1	FOX News or Moderators	9	RT @prettyplusmore: What a shocker. #megynKelly can't stop giggling at herself EVEN AT A DAMN PRESIDENTIAL DEBATE!!!!!! #GOPDebate	8/7/15 9:39	"San Diego, CA USA"	Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	1	Abortion	2	@GrnEyedMandy Conservatives drag their knocked up daughters for an abortion &amp;go right back to protesting against pp the next day #GOPDebate	8/7/15 9:39	California	Pacific Time (US & Canada)
Donald Trump	yes	Positive	1	None of the above	0	WHAT IS LOVE? Presenting D Trump at the Roxbury! https://t.co/SERwdl1yfc #DonaldTrump #GOPDebate http://t.co/k5kvYbeij8	8/7/15 9:39	Los Angeles _ѫ	Quito
No candidate mentioned	yes	Neutral	0.3444	None of the above	1	RT @moneyries: The 2 most-retweeted presidential candidate Tweets of the #GOPDebate came from Democrats @BernieSanders &amp; @HillaryClinton - __	8/7/15 9:39	New York City	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6629	FOX News or Moderators	52		8/7/15 9:39		
John Kasich	yes	Positive	0.6703	None of the above	9	RT @holly_harris: On @TODAYshow @chucktodd says @JohnKasich helped himself the most in the #GOPDebate. Kasich's 1st answer of night include__	8/7/15 9:39	USA 	Atlantic Time (Canada)
No candidate mentioned	yes	Negative	1	None of the above	0	DUMBMASSES #IDIOCRACY #GOPDebate  https://t.co/C7fFOOErmn	8/7/15 9:39		
Mike Huckabee	yes	Positive	1	None of the above	1	RT @RhondaWatkGwyn: It sure was. #Huckabee delivered his message well.  #ImWithHuck #GOPDebate #th2016 #ccot #tcot #teaparty #pjnet https:/__	8/7/15 9:39	"California, USA"	Pacific Time (US & Canada)
Donald Trump	yes	Negative	0.6478	None of the above	0	"Donald Trump would be a bad President, but an excellent Pro Wrestler. Finishing move: The Trump Card! #GOPDebate"	8/7/15 9:39	San Francisco	Alaska
John Kasich	yes	Neutral	1	LGBT issues	0	Follow up question to @JohnKasich: Will you nominate supreme court justices that will uphold marriage equality cases? #GOPDebate	8/7/15 9:39	DC/IN	Eastern Time (US & Canada)
Donald Trump	yes	Positive	1	None of the above	642	RT @ShooterMcGavin_: Donald Trump is the Shooter McGavin of Politicians #GOPDebate	8/7/15 9:39	Coon Rapids MN	
Donald Trump	yes	Negative	1	None of the above	0		8/7/15 9:39	Small town S.Il. 	
Marco Rubio	yes	Negative	0.6744	None of the above	3	RT @VerifiedDrunk: I'd love to do a body shot out of Marco Rubio's ears. #GOPDebate	8/7/15 9:39		Central Time (US & Canada)
Donald Trump	yes	Negative	0.6705	FOX News or Moderators	12	"Rush Limbaugh to Megyn Kelly ""I know no Democrat Candidate would be treated the way Megyn Kelly treated Trump."" #FoxNews #GOPDebate"	8/7/15 9:39		Quito
Ted Cruz	yes	Positive	1	None of the above	0	"Frank Luntz: #GOPDebate ""Great News for Ted Cruz"" https://t.co/lZWVLuBgNq via @YouTube"	8/7/15 9:39	"La Vergne, TN"	Central Time (US & Canada)
Ted Cruz	yes	Neutral	0.6632	FOX News or Moderators	3	"RT @pondlizard: Ted Cruz reacts to Fox News GOP debate on ""Hannity"" http://t.co/B4LzAIhOk3 via @YouTube #GOPdebate"	8/7/15 9:39	"Levy, South Carolina"	Eastern Time (US & Canada)
Donald Trump	yes	Neutral	0.6361	None of the above	2		8/7/15 9:39	"Washington, DC"	Central Time (US & Canada)
Ted Cruz	yes	Negative	1	FOX News or Moderators	52	RT @kyleraccio: Fox News must be taking marching orders from RNC by their treatment of Cruz and Trump and Carson. #gopdebate	8/7/15 9:39		Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	0.661	None of the above	1	The human embodiment of \_()_/ #GOPDebate http://t.co/rUkXAyZMbu	8/7/15 9:39		Pacific Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6559	None of the above	1	"RT @Sanders4Potus: RT @ABCPolitics: According to @gov, the most-retweeted candidate tweet of the #GOPDebate didn't come from a Republ__ http__"	8/7/15 9:39		
No candidate mentioned	yes	Neutral	0.6522	None of the above	0	Hope #tcot&amp;#tgdn enjoyed the pander-fest at the #GOPDebate debate last night. How does spoon-fed pap taste? @GOP @BuhByeGOP  @LOLGOP	8/7/15 9:39	"San Francisco, CA, USA"	Pacific Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6774	None of the above	1	The 2 most-retweeted presidential candidate Tweets of the #GOPDebate came from Democrats @BernieSanders &amp; @HillaryClinton - Twitter data	8/7/15 9:39	"Brooklyn, NY"	Eastern Time (US & Canada)
Donald Trump	yes	Negative	1	FOX News or Moderators	1	"On the FB post of last night's #GOPdebate, all the comments seem to be attacking Fox News for ""attacking Trump"". ___ http://t.co/YuLgjreYvU"	8/7/15 9:39	"Toronto, Ontario"	
No candidate mentioned	yes	Negative	1	Racial issues	79	"RT @BrianZahnd: My Native American friends get a kick out of white folks complaining about ""illegals."" #GOPDebate"	8/7/15 9:39	"Yukon, OK"	
No candidate mentioned	yes	Neutral	1	None of the above	1	RT @derekahunter: Up next we get #GOPDebate reaction from @dbongino. @WBALRadio and http://t.co/wTDQ8gmvEl	8/7/15 9:39	"Baltimore, MD"	Eastern Time (US & Canada)
Donald Trump	yes	Negative	1	Immigration	1	RT @amandagutterman: Trump wants to treat Mexicans like the white walkers #GOPDebate	8/7/15 9:39		
No candidate mentioned	yes	Negative	1	None of the above	37	RT @vohandas: They can argue about Hillary for 1hr but can_t even talk about police brutality for a full minute? #GOPDebate	8/7/15 9:39	GA ~ Paine College ~ KU 	
Ben Carson	yes	Negative	0.7097	None of the above	167		8/7/15 9:39	Beyond the Horizon	
No candidate mentioned	yes	Neutral	0.3278	Immigration	0	@LatinaLista Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor... https://t.co/lkLfFN2LFy via @YouTube	8/7/15 9:39	America	Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6724	None of the above	2	RT @jordanbartel: Rodney the Ocean City Lifeguard for president! #GOPDebate	8/7/15 9:39	MobsterAF	
No candidate mentioned	yes	Negative	1	None of the above	0	.@Bipartisanism This was not at all talked about at the #GOPDebate http://t.co/4Wj0ZBZMqe	8/7/15 9:39	the end of the east bay	Pacific Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6708	None of the above	2	Instagram: gaydayslosangeles #gopdebate _Ɋ_Ɋ_Ɋ gurrlll!! http://t.co/5xsVTuyimP http://t.co/2IrXUpIXKe	8/7/15 9:39	Los Angeles	Tijuana
No candidate mentioned	yes	Negative	0.7079	FOX News or Moderators	94		8/7/15 9:39		Central Time (US & Canada)
Mike Huckabee	yes	Positive	0.6842	None of the above	3	RT @SarahHuckabee: .@BretBaier named @GovMikeHuckabee has one of his _winners_ѝ of #GOPDebate _-&gt; https://t.co/OBSveWvo41 #ImWithHuck	8/7/15 9:39	Texas	Central Time (US & Canada)
No candidate mentioned	yes	Negative	0.3889	None of the above	1	"RT @MacandGaydos: Mac-#GOPDebate: kinda like prom night. Lots of anticipation, some fun moments, but nothing lasting. Glad I watched but un__"	8/7/15 9:39	"Scottsdale, Az"	Arizona
Ben Carson	yes	Neutral	0.3778	FOX News or Moderators	48	"RT @KennedyNation: ""Megyn I could crack your head open and eat your brain."" - Dr Ben Carson #GOPDebate"	8/7/15 9:39		
Donald Trump	yes	Negative	1	FOX News or Moderators	34		8/7/15 9:39	DE.	
No candidate mentioned	yes	Negative	0.6602	None of the above	0	Watching everyone complain about the #GOPDebate last night makes me glad I watched #CriticalRole instead. #Critters #NoContest	8/7/15 9:39		Pacific Time (US & Canada)
Donald Trump	yes	Negative	0.6778	FOX News or Moderators	18	RT @Raddmom: @megynkelly you mean before you crash and burned- you're despicable- never watch your show again- EVER! #GOPDebate @realDonald__	8/7/15 9:39	USA	
No candidate mentioned	yes	Negative	0.6739	None of the above	0	Have a #GOPDebate 'hangover' today.  So much consumed...brain fried.	8/7/15 9:39	www.freeconferencecall.com	Mountain Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6111	Religion	27		8/7/15 9:39		
Donald Trump	yes	Negative	0.6703	FOX News or Moderators	2	RT @_HankRearden: .@megynkelly so would you consider Trump part of the 'patriarchy?' Serious question. #GOPDebate	8/7/15 9:39		
No candidate mentioned	yes	Neutral	0.6552	Religion	22	"RT @stitchkingdom: so quick question.. if God is personally advising all the #GOPDebate candidates, shouldn't they all agree with each othe__"	8/7/15 9:39		Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6634	Abortion	5	RT @ItsShoBoy: #GOPDebate Reveals @GOP Candidates_s Terrifying Fantasies About #Abortion http://t.co/GYjq13nW35 #TNTVote #AINF #tlot #p2 #t__	8/7/15 9:39	"Cincinnati, OH"	Arizona
No candidate mentioned	yes	Negative	1	None of the above	9	RT @aubreysitterson: My favorite moment from last night's #GOPDebate http://t.co/Vnc4IslI7q	8/7/15 9:39		Atlantic Time (Canada)
No candidate mentioned	yes	Positive	1	None of the above	814	RT @KatiePavlich: Fiorina didn't make a single mistake and made strong arguments with details to back them up. Excellent job. #GOPDebate	8/7/15 9:39	Main St SW via 5th Ave 	
Donald Trump	yes	Negative	1	None of the above	0	"@keder they missed an ""h"" in that. It's supposed to read ""Whiner: Donald Trump"" #GOPDebate"	8/7/15 9:39	"Chicago, IL"	Central Time (US & Canada)
Donald Trump	yes	Negative	1	FOX News or Moderators	1	@woodruffbets @thedailybeast And you just proved @realDonaldTrump point on bad journalists from the #GOPDebate can't even describe it right	8/7/15 9:39		
Donald Trump	yes	Negative	1	None of the above	0	"I would say that Trump appeared incompetent in the #GOPDebate, but that wouldn't be very nice."	8/7/15 9:39		Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6735	Abortion	39	"RT @NTagouri: Some politicians are so obsessed w protecting rights of fetuses but care nothing about rights of ppl who are alive, strugglin__"	8/7/15 9:39	"LI, NY _鐫"	Central Time (US & Canada)
No candidate mentioned	yes	Neutral	1	None of the above	5	"RT @Russian_Starr: If you're in NYC, turn in to @NY1at 7 p.m. You'll see me discussing NYC politics and the #GOPDebate."	8/7/15 9:39	(Pre-Gentrified) Brooklyn	Eastern Time (US & Canada)
Donald Trump	yes	Neutral	0.3499	None of the above	0	@HuntsmanAbby @SIRIUSXM @PeteDominick @krystalball #GOPDebate  @JonHuntsman https://t.co/AyxbtXwsKR Money Can't Buy Me Love? It Can -D Trump	8/7/15 9:39	Michigan	Central Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	0	I for one am shocked that the party whose audience booed an American soldier applauded a rallying cry to be meaner to people. #GOPDebate	8/7/15 9:39	"Ottawa, Canada"	Atlantic Time (Canada)
Donald Trump	yes	Neutral	0.3452	None of the above	0	Donald Trump &amp; Hillary Clinton deserve each other. I guess if the parties nominate these 2 phonies then America deserves them too #GOPDebate	8/7/15 9:39		
No candidate mentioned	yes	Neutral	0.701	None of the above	16	"RT @geoffcaldwell: After prime time mess-fest last night, here's a visual thought from the real debate 3 hrs earlier. #GOPDebate #tcot http__"	8/7/15 9:39	KNOXVILLE TN USA	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.3563	FOX News or Moderators	10	"RT @scrowder: Talking all things #GOPDebate. Specifically, the complete massacre that happened at the hands of Carly Fiorina. #LwC"	8/7/15 9:39	Twitter	
No candidate mentioned	yes	Negative	0.6458		1		8/7/15 9:39	.... ranchin' in central #TX 	Mountain Time (US & Canada)
Scott Walker	yes	Positive	0.6322	None of the above	0	Retrospect. I liked way @ScottWalker was respectfully #listening to other candidates in #gopdebate pictures. Very revealing.	8/7/15 9:39		Central Time (US & Canada)
Ted Cruz	yes	Positive	0.6667	None of the above	44	"RT @KLSouth: Ted #Cruz was the smartest, most articulate man on stage at #GOPDebate - Most Presidential. https://t.co/Umk17vuktJ"	8/7/15 9:39	"Yanceyville,NC"	
Donald Trump	yes	Negative	0.6622	None of the above	0	@stephenmengland @realDonaldTrump Donald Trump is starting to Implode but I doubt that his supporters even notice. #GOPDebate	8/7/15 9:39	"Spring Branch,Texas"	Central Time (US & Canada)
No candidate mentioned	yes	Negative	1	Religion	2	RT @princessomuch: Yes! And true of most religions: women are unclean sexual distracters &amp; men are hapless victims #religion #GOPDebate htt__	8/7/15 9:39	WWDD (WhatWouldDudeDo)	Central Time (US & Canada)
Donald Trump	yes	Neutral	0.6377	FOX News or Moderators	19	RT @CNNMoney: #GOPDebate recap: @realDonaldTrump vs. @megynkelly. Who won the night? http://t.co/YwdF7hJgdB By @brianstelter http://t.co/Lz__	8/7/15 9:39	"Bronx, NY"	
Mike Huckabee	yes	Negative	0.6602	None of the above	0	.@GovMikeHuckabee @FrankLuntz Haha. Dream on. #GOPDebate	8/7/15 9:39		
No candidate mentioned	yes	Neutral	0.6638	None of the above	0		8/7/15 9:39	ann arbor mi	Eastern Time (US & Canada)
Donald Trump	yes	Negative	0.6344	Abortion	17	RT @LilaGraceRose: .@megynkelly asks good question on track record of #pro-abortion position @realDonaldTrump. Answer: obfuscation from #Tr__	8/7/15 9:39	"Phoenix, AZ"	Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	0.3488	None of the above	84	RT @PunkHistory: Congratulations to anyone who watched tonight's #GOPDebate and will respond tomorrow by starting a punk rock band.	8/7/15 9:39		Pacific Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6667	None of the above	103	RT @JonyIveParody: I haven_t seen a room this white since I filmed my last Apple product video. #GOPDebate	8/7/15 9:39	_______(_)______ӑ__	Beijing
Ted Cruz	yes	Negative	0.6489	None of the above	57	"RT @Writeintrump: Ted Cruz really looks like a ventriloquist dummy. I'm not going to lie, it's freaking me out.  #GOPDebate"	8/7/15 9:39		Eastern Time (US & Canada)
John Kasich	yes	Neutral	0.6404	None of the above	1	"RT @rentamob: In #GOPDebate, John Kasich showed himself to be an alternative to Jeb Bush, says @LindaJKillian:  http://t.co/qnNSctIzO7 via __"	8/7/15 9:39	"Washington, D.C."	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	1	Clown show. #GOPDebate http://t.co/uyWu9jQcEx	8/7/15 9:39	"South Portland, Maine"	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6941	None of the above	2	RT @AJC4others: #GOPDebate  practiced answers R not impressive when u look at what they practice. Ignore what they say it's what they've DO__	8/7/15 9:39	"Pittsburgh, PA"	EDT
No candidate mentioned	yes	Negative	1	Abortion	1	I'm... is she saying she is regretting having the baby? That's kind of how this reads. #GOPDebate #tcot #prolife  https://t.co/cjy6PQrlS9	8/7/15 9:39	"Evansville, IN"	
Scott Walker	yes	Neutral	1	None of the above	259	RT @ScottWalker: Russia &amp; China know more about @HillaryClinton_s email server than Congress #GOPdebate #Walker16     http://t.co/Sd0cpKGhw1	8/7/15 9:39	Chicago	Central Time (US & Canada)
No candidate mentioned	yes	Negative	1	FOX News or Moderators	2	RT @elanazak: Here's why Fox News wasn't streaming #GOPDebate last night: http://t.co/7soOwGIuno http://t.co/wX5gO1thNu	8/7/15 9:39	"Lutefisk Land, MN"	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.6316	None of the above	0	the #GOPDebate : for whatever Ailes you..	8/7/15 9:39	under the stairs..i mean stars	Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	50	"RT @dccommonsense: ""Our leaders are stupid! Our politicians are stupid! Well, it's a popular message. Even I liked it. #GOPDebate"	8/7/15 9:38	Alberta	Central Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6674	None of the above	0	Check out http://t.co/k1hbpWGv6w for a fresh political perspective! #blog #blogger #finchley1959 We update constantly! #GOPDebate	8/7/15 9:38	"London, United Kingdom"	
No candidate mentioned	yes	Negative	1	None of the above	0	The first GOP deuschbait day ends with no winners... anywhere. #GOPDebate	8/7/15 9:38		Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	0	#TheWorstPartOfDepressionIs not even the #GOPDebate results or watching the #GOPClownCar crash will make me smile...	8/7/15 9:38	Pacific NW 	
No candidate mentioned	yes	Negative	1	Racial issues	18	RT @somethingwithin: And to think this is the party of Abraham Lincoln. Slavery would be alive and well if left to these folks. #GOP2015 #G__	8/7/15 9:38	"Citrus Heights, CA"	
No candidate mentioned	yes	Negative	0.6739	FOX News or Moderators	0	#FOXNEWS focus groups are just as biased as the 3 Stooges who moderated the #GOPDebate. #FOXNEWS will lose viewers. #CNN #MSNBC #CBS #ABC	8/7/15 9:38	ALABAMA	
Ben Carson	yes	Positive	1	None of the above	0	The #GOPDebate PROVED why @RealBenCarson is here for good.... @rfrasher90 #Neurosurgery #Deserving #POTUS #Genius http://t.co/2fF3OmzjSM	8/7/15 9:38	OHIO	
Ted Cruz	yes	Positive	1	None of the above	0		8/7/15 9:38	*Tornado Land* aka Oklahoma	Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	1	None of the above	6	RT @ryanbeckwith: TRANSCRIPT: Here is the full and final text of the #GOPDebate http://t.co/Wp0C9V3utf http://t.co/WFyL0lwpoL	8/7/15 9:38	"Dallas, Tx. "	
No candidate mentioned	yes	Negative	1	Religion	0	Basically #GOPDebate http://t.co/znxkpFq6y7	8/7/15 9:38	Atlanta GA	Atlantic Time (Canada)
	yes	Neutral	0.3614		1		8/7/15 9:38		
No candidate mentioned	yes	Negative	0.3516	FOX News or Moderators	2	Carly Fiorina wrote an op-ed for us at IJReview after her performance last night.  http://t.co/LdQE8KG2ZW #GOPDebate	8/7/15 9:38	"Salt Lake City, UT"	Pacific Time (US & Canada)
No candidate mentioned	yes	Positive	0.6739	None of the above	0	"Even the media doesn't get it,  No one won last night's #GOPDebate.  ALL the men further alienated their base.  Carly was the only star."	8/7/15 9:38		Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	0.663	Abortion	0	"@ESQPolitics ""Zygote Americans"" - the winingest takeaway of the winner of the #GOPDebate Thank you, Sir."	8/7/15 9:38	Global (Phoenix for now)	
Ted Cruz	yes	Negative	0.3569	None of the above	0		8/7/15 9:38	"Mechanicsville, VA07"	
Donald Trump	yes	Negative	0.6629	FOX News or Moderators	0	FOX made an all out effort to take #DonaldTrump out. I hope his poll numbers catapult!! #GOPDebate	8/7/15 9:38	Missouri	
No candidate mentioned	yes	Negative	1	None of the above	15	RT @AmberJPhillips: _And people rose up!_ѝ #KKKorGOP #GOPDebate http://t.co/V0qxraXbq0	8/7/15 9:38	"Ellensburg, WA"	Pacific Time (US & Canada)
Ted Cruz	yes	Negative	0.6667	Abortion	31	RT @feministabulous: Ted Cruz thinks your birth control is an _abortion-inducing drug_ѝ  http://t.co/8O8FbzAfka #GOPDebate	8/7/15 9:38	Reality 	Eastern Time (US & Canada)
Donald Trump	yes	Negative	0.6782	FOX News or Moderators	0	@realDonaldTrump should purchase @FoxNews and relieve @megynkelly of her duties! #GOPDebate #tcot #Trump2016  https://t.co/TTp2x2gRRC	8/7/15 9:38		
No candidate mentioned	yes	Negative	0.6791	FOX News or Moderators	8	"RT @LuthorCEO: #GOPDebate Winner: Me, because I didn't make an ass of myself by showing up to questioned by dumbasses. #LUTHOR2016"	8/7/15 9:38	JLA Watchtower	
No candidate mentioned	yes	Neutral	1	None of the above	0	Highlight video from #Iowa debate parties last night.  Part 1. Full vid here. https://t.co/ZAQ07p8qY6 #GOPDebate http://t.co/wV0ivyqUdh	8/7/15 9:38	As Many Places As Possible	Central Time (US & Canada)
No candidate mentioned	yes	Neutral	1	Religion	1	RT @andreafed: God's on deck. #GOPDebate	8/7/15 9:38	East coast	Eastern Time (US & Canada)
Donald Trump	yes	Negative	1	Abortion	4	RT @speechboy71: Also losers and dummies RT @PeterBeinart: .@realDonaldTrump: only abort non-superstars #GOPDebate	8/7/15 9:38		Eastern Time (US & Canada)
Marco Rubio	yes	Positive	1	None of the above	0	I like what Marco Rubio had to say at the beginning actually. #GOPdebate	8/7/15 9:38	"Worcester/Manchester, UK"	London
No candidate mentioned	yes	Negative	1	Religion	293	"RT @JesseCox: Even God is rolling his eyes at these responses. We get it, you are super into Jesus. Just not what he does or says... #GOPDe__"	8/7/15 9:38		Eastern Time (US & Canada)
No candidate mentioned	yes	Neutral	0.381	None of the above	20	RT @jjauthor: _@thehill: Hillary spent the #GOPDebate with Kim and Kanye: http://t.co/VbfNUAiAqo http://t.co/umgxs9lXnL_ѝ The Three Stooges!	8/7/15 9:38	Everywhere	Alaska
No candidate mentioned	yes	Neutral	1	Jobs and Economy	0	I am hearing about the Fair tax again. #GOPDebate	8/7/15 9:38	The Big Apple	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	0	Where do I find a YouTube compilation of all the ridiculous things said last night? #GOPDebate	8/7/15 9:38	UVU -- USU	Central Time (US & Canada)
No candidate mentioned	yes	Neutral	0.6552	None of the above	0	"I still don't know what a 'tsunami of drugs' is exactly, but it sounds like a great time to me. #DrugsMan #GOPDebate"	8/7/15 9:38	"Washington, D.C."	
Mike Huckabee	yes	Positive	0.6513	None of the above	0	@GovMikeHuckabee Was fantastic in the debate.  On to the White House!  #imwithhuck #GOPDebate #th16 https://t.co/MyElASNpnb	8/7/15 9:38		Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	1	None of the above	0	Just caught highlights of the #GOPDebate and it's super depressing because only 1 of them can be president in 2016 :/	8/7/15 9:38	"Portland, Oregon"	Pacific Time (US & Canada)
No candidate mentioned	yes	Negative	0.6667	Religion	7	"RT @somethingwithin: ""Thou shall not take the name of the Lord in vain."" In other words, leave Me out of this debate. I'm cruising in Fergu__"	8/7/15 9:38	"Citrus Heights, CA"	
Donald Trump	yes	Negative	0.6742	FOX News or Moderators	0	"@megynkelly I WAS a big fan, watched your show nightly , until your LIB  attack on @realDonaldTrump #GOPDebate #NoKellyFiles #Trump2016"	8/7/15 9:38	USA 	Pacific Time (US & Canada)
No candidate mentioned	yes	Neutral	0.3263	None of the above	0	Who won? Are more people talking about this picture w/ @HillaryClinton or the #GOPDebate #Kardashian #Politics #Kanye http://t.co/z6B8vwv9VC	8/7/15 9:38	"Phoenix, Arizona"	Eastern Time (US & Canada)
Rand Paul	yes	Negative	0.6603	None of the above	7	RT @frankthorpNBC: So this Vine of @RandPaul's eye roll to Chris Christie at the #GOPDebate last night has 4 MILLION loops: https://t.co/hf__	8/7/15 9:38	"Asheville, NC"	Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.3617	None of the above	92	RT @SouthernHomo: The candidates to each other once the #GOPDebate is over https://t.co/hb86fXzb2A	8/7/15 9:38	The fandom world	Eastern Time (US & Canada)
Donald Trump	yes	Negative	0.6742	None of the above	2	This image best sums up my thoughts regarding last night's #GOPDebate http://t.co/ko0eOisFJw	8/7/15 9:38	Danbury CT	Eastern Time (US & Canada)
Donald Trump	yes	Negative	0.6703	None of the above	0	@PamelaGeller @AnnCoulter I think you on accidentally uploaded a pic of Hillary instead of @realDonaldTrump. #GOPdebate	8/7/15 9:38		Eastern Time (US & Canada)
No candidate mentioned	yes	Negative	0.7034	None of the above	0	"""@AlyssaLardi: I can't remember any of their names esp since they're 90% white men with orange foundation #GOPDebate"" dying"	8/7/15 9:38	"LI, NY _鐫"	Central Time (US & Canada)
